NM_DOCENTE,GENERO
DAG PRAWITZ,Male
MÁRCIA SÁ CAVALCANTE SCHUBACK,NA
FERNANDO DÉCIO PORTO MUNIZ,Male
GUIDO IMAGUIRE,Male
CAROLINA DE MELO BOMFIM ARAUJO,Female
RODRIGO GUERIZOLI TEIXEIRA,Male
PEDRO COSTA REGO,Male
MARINA ISABEL VELASCO,Female
ULYSSES PINHEIRO,Male
ROBERTO HORACIO DE SA PEREIRA,Male
ETHEL MENEZES ROCHA,Female
MARIA DAS GRACAS DE MORAES AUGUSTO,Female
ALBERTO OLIVA,Male
MARCO ANTONIO CARON RUFFINO,Male
GUIDO ANTONIO DE ALMEIDA,Male
RAUL FERREIRA LANDIM FILHO,Male
RAFAEL HADDOCK LOBO,Male
MARCELO MARTINS BARREIRA,Male
JOSÉ PEDRO LUCHI,NA
EDEBRANDE CAVALIERI,NA
FERNANDO MENDES PESSOA,Male
RICARDO LUIZ SILVEIRA DA COSTA,Male
JORGE AUGUSTO DA SILVA SANTOS,Male
CLÁUDIA PEREIRA DO CARMO MURTA,NA
ROBERTO CABRAL DE MELO MACHADO,Male
FRANKLIN TREIN,Male
AQUILES CORTES GUIMARAES,Male
HENRIQUE FORTUNA CAIRUS,Male
JEAN YVES BEZIAU,Male
SUSANA DE CASTRO AMARAL VIEIRA,Female
ADRIANY FERREIRA DE MENDONCA,Female
CARLA COSTA PINTO FRANCALANCI,Female
ANDRE MARTINS VILAR DE CARVALHO,Male
FERNANDO ANTONIO SOARES FRAGOZO,Male
FERNANDO AUGUSTO DA ROCHA RODRIGUES,Male
MICHAEL ALAIN SOUBBOTNIK,Male
FABIO DI CLEMENTE,Male
ANTÔNIO VIDAL NUNES,NA
RICARDO CORRÊA DE ARAUJO,Male
ARTHUR OCTÁVIO DE MELO ARAÚJO,Male
FILIPE CEPPAS DE CARVALHO E FARIA,Male
LUIZ ALBERTO CERQUEIRA BATISTA,Male
RICARDO JARDIM ANDRADE,Male
FERNANDO JOSE DE SANTORO MOREIRA,Male
GUILHERME CASTELO BRANCO,Male
GILVAN LUIZ FOGEL,Male
WILSON JOHN PESSOA MENDONCA,Male
MARIA CLARA MARQUES DIAS,Female
ALDO LOPES DINUCCI,Male
ANTONIO CARLOS DOS SANTOS,Male
EDMILSON MENEZES SANTOS,Male
ELYANA BARBOSA,Female
JULIANA ORTEGOSA AGGIO,Female
RAFAEL LOPES AZIZE,Male
JARLEE OLIVEIRA SILVA SALVIANO,NA
ABEL LASSALLE CASANAVE,Male
CARLOTA MARIA IBERTIS DE LASSALLE CASANAVE,Female
ROSA GABRIELLA DE CASTRO GONÇALVES,Female
JOSÉ LOURENÇO ARAÚJO LEITE,NA
GENILDO FERREIRA DA SILVA,Male
DANIEL TOURINHO PERES,Male
WILSON DA SILVA GOMES,Male
SÍLVIA FAUSTINO DE ASSIS SAES,NA
WALDOMIRO JOSÉ DA SILVA FILHO,Male
OLIVAL FREIRE JUNIOR,Male
NANCY MANGABEIRA UNGER,Female
ADILSON ALCIOMAR KOSLOWSKI,Male
MONCLAR EDUARDO GÓES DE LIMA VALVERDE,Male
MAURO CASTELO BRANCO DE MOURA,Male
JOSÉ CRISÓSTOMO DE SOUZA,NA
EDVALDO SOUZA COUTO,Male
ACYLENE MARIA CABRAL FERREIRA,NA
JOÃO CARLOS SALLES PIRES DA SILVA,NA
SONIA BARRETO FREIRE,Female
MARCOS RIBEIRO BALIEIRO,Male
SERGIO HUGO MENNA,Male
ANTONIO JOSE PEREIRA FILHO,Male
